Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,5.850000,5.950000,5.700000,5.750000,5.750000,5486248
2022-02-21,5.700000,5.750000,5.500000,5.500000,5.500000,5002934
2022-02-22,5.250000,5.300000,5.250000,5.250000,5.250000,4052917
2022-02-23,5.050000,5.500000,5.050000,5.500000,5.500000,6936643
2022-02-24,5.250000,5.250000,5.250000,5.250000,5.250000,2415354
2022-02-25,5.100000,5.450000,5.100000,5.150000,5.150000,6881196
2022-02-28,5.100000,5.400000,4.900000,5.400000,5.400000,5143168
2022-03-02,5.450000,5.650000,5.250000,5.400000,5.400000,5805084
2022-03-03,5.550000,5.650000,5.450000,5.600000,5.600000,5612815
2022-03-04,5.600000,5.650000,5.400000,5.450000,5.450000,3739065
2022-03-07,5.350000,5.400000,5.200000,5.200000,5.200000,4672143
2022-03-08,5.000000,5.250000,5.000000,5.100000,5.100000,5716285
2022-03-09,5.200000,5.350000,5.150000,5.350000,5.350000,3761308
2022-03-10,5.550000,5.600000,5.500000,5.600000,5.600000,4845581
2022-03-11,5.750000,5.850000,5.550000,5.850000,5.850000,7422408
2022-03-14,6.000000,6.100000,5.900000,6.100000,6.100000,5900921
2022-03-15,6.300000,6.300000,5.800000,5.850000,5.850000,8468597
2022-03-16,5.850000,6.000000,5.800000,5.850000,5.850000,4072401
2022-03-17,5.950000,6.000000,5.900000,5.950000,5.950000,3642299
2022-03-21,6.000000,6.100000,5.700000,5.750000,5.750000,5289358
2022-03-22,5.800000,5.800000,5.550000,5.650000,5.650000,4121330
2022-03-23,5.700000,5.750000,5.450000,5.500000,5.500000,3876634
2022-03-24,5.500000,5.750000,5.400000,5.750000,5.750000,6458749
2022-03-25,5.850000,5.900000,5.550000,5.800000,5.800000,7674382
2022-03-28,5.850000,6.050000,5.550000,5.900000,5.900000,16942522
2022-03-29,5.750000,5.950000,5.650000,5.650000,5.650000,21886940
2022-03-30,5.650000,5.750000,5.550000,5.600000,5.600000,7424042
2022-03-31,5.650000,5.650000,5.350000,5.350000,5.350000,10831548
2022-04-01,5.300000,5.600000,5.250000,5.600000,5.600000,8252712
2022-04-04,5.750000,5.850000,5.650000,5.800000,5.800000,13366988
2022-04-05,5.900000,6.050000,5.650000,6.050000,6.050000,29013636
2022-04-06,6.200000,6.350000,6.050000,6.350000,6.350000,9676901
2022-04-07,6.650000,6.650000,6.050000,6.150000,6.150000,37523644
2022-04-08,6.250000,6.450000,6.100000,6.200000,6.200000,14480492
2022-04-11,6.200000,6.400000,5.950000,6.000000,6.000000,15360371
2022-04-12,6.000000,6.050000,5.750000,5.900000,5.900000,9579774
2022-04-13,5.950000,6.150000,5.900000,6.100000,6.100000,27480487
2022-04-18,6.000000,6.050000,5.800000,5.850000,5.850000,14299088
2022-04-19,5.950000,6.100000,5.750000,5.800000,5.800000,17866979
2022-04-20,5.900000,6.000000,5.750000,5.850000,5.850000,9159676
2022-04-21,5.950000,5.950000,5.800000,5.800000,5.800000,6325223
2022-04-22,5.800000,5.900000,5.700000,5.750000,5.750000,11299946
2022-04-25,5.750000,5.750000,5.500000,5.600000,5.600000,7645630
2022-04-26,5.650000,5.750000,5.500000,5.550000,5.550000,9135086
2022-04-27,5.450000,5.550000,5.300000,5.350000,5.350000,11308651
2022-04-28,5.350000,5.350000,5.150000,5.150000,5.150000,8852126
2022-04-29,5.200000,5.400000,5.150000,5.400000,5.400000,13203231
2022-05-02,5.400000,5.500000,5.150000,5.150000,5.150000,16133642
2022-05-04,5.150000,5.200000,5.000000,5.050000,5.050000,12152866
2022-05-05,5.200000,5.200000,5.050000,5.050000,5.050000,8697050
2022-05-06,4.950000,4.950000,4.800000,4.800000,4.800000,15027374
2022-05-09,4.750000,4.800000,4.600000,4.650000,4.650000,9661695
2022-05-10,4.700000,4.850000,4.650000,4.750000,4.750000,9392924
2022-05-11,4.800000,4.850000,4.550000,4.550000,4.550000,8822797
2022-05-12,4.400000,4.450000,4.350000,4.350000,4.350000,9285052
2022-05-13,4.500000,4.550000,4.450000,4.500000,4.500000,20843821
2022-05-16,4.650000,4.700000,4.500000,4.600000,4.600000,16609013
2022-05-17,4.550000,4.600000,4.400000,4.400000,4.400000,25343147
2022-05-18,4.350000,4.550000,4.250000,4.400000,4.400000,27324635
2022-05-19,4.300000,4.350000,4.200000,4.200000,4.200000,15539532
2022-05-20,4.250000,4.400000,4.000000,4.050000,4.050000,30347078
2022-05-23,4.100000,4.150000,4.000000,4.050000,4.050000,9840116
2022-05-24,4.050000,4.100000,3.950000,4.000000,4.000000,6457347
2022-05-25,4.050000,4.100000,3.800000,3.800000,3.800000,17014837
2022-05-26,3.850000,3.950000,3.650000,3.850000,3.850000,16013056
2022-05-27,3.950000,3.950000,3.800000,3.900000,3.900000,7257614
2022-05-30,4.000000,4.050000,3.900000,4.050000,4.050000,19258604
2022-05-31,4.050000,4.100000,3.900000,4.000000,4.000000,13765379
2022-06-01,4.050000,4.200000,3.950000,4.200000,4.200000,36488847
2022-06-02,4.300000,4.400000,4.200000,4.400000,4.400000,36382595
2022-06-03,4.550000,4.600000,4.200000,4.200000,4.200000,57035260
